doc_id,item,category,amount,price,discount
d5d80c64,Шторы,текстиль,4,4886.53,721.66
d5d80c64,Средство для мытья пола,бытовая химия,1,3173.78,679.53
d5d80c64,Чайник,посуда,5,944.67,184.22
d5d80c64,Стиральный порошок,бытовая химия,4,2993.43,0.0
0eef1d40,Стиральный порошок,бытовая химия,2,256.45,0.0
0eef1d40,Овощечистка,кухонная утварь,4,1396.2,0.0
0eef1d40,Средство для мытья пола,бытовая химия,2,2830.28,808.34
0eef1d40,Скатерть,текстиль,2,265.89,0.0
92f9f396,Чайник,посуда,5,2103.95,0.0
92f9f396,Чайник,посуда,5,2101.0,283.63
92f9f396,Гель для душа,бытовая химия,4,4325.4,629.85
d360a8da,Овощечистка,кухонная утварь,2,3275.24,0.0
d360a8da,Кастрюля,посуда,1,4416.84,0.0
9ea0fd82,Ложка,кухонная утварь,3,272.05,0.0
9ea0fd82,Полотенце,текстиль,2,4429.4,858.27
ec30d54d,Сковорода,посуда,2,265.38,26.07
ec30d54d,Разделочная доска,кухонная утварь,2,2168.74,0.0
ec30d54d,Ложка,кухонная утварь,4,4105.96,0.0
ec30d54d,Чайник,посуда,5,3854.77,100.58
b241128f,Ложка,кухонная утварь,5,3252.49,481.71
b241128f,Гель для душа,бытовая химия,1,1449.66,186.63
490daf9d,Скатерть,текстиль,5,570.9,0.0
490daf9d,Чайник,посуда,5,939.31,0.0
490daf9d,Сковорода,посуда,2,2921.78,0.0
ce0dd21f,Овощечистка,кухонная утварь,3,2514.86,0.0
0d6ee475,Сковорода,посуда,4,4323.95,515.28
0d6ee475,Стиральный порошок,бытовая химия,1,3637.85,0.0
0d6ee475,Средство для мытья пола,бытовая химия,1,2558.43,599.75
0d6ee475,Полотенце,текстиль,5,1810.44,0.0
837fbad9,Чайник,посуда,1,1881.14,0.0
837fbad9,Чайник,посуда,4,531.45,35.67
34cae983,Разделочная доска,кухонная утварь,4,3247.36,601.32
34cae983,Средство для мытья пола,бытовая химия,5,4067.28,381.19
34cae983,Ложка,кухонная утварь,2,957.94,159.29
e102f42e,Овощечистка,кухонная утварь,2,1926.32,0.0
